geoname_id	name	ascii_name	population	latitude	longitude	feature_code
13308622	Chentian	Chentian	6918	22.5934500	113.8734800	PPLX
7343288	Azitan	Azitan	6881	34.7086200	103.3128100	PPL
7446417	Nawu	Nawu	6853	34.9540300	102.9133700	PPLA4
7446186	Wangzang	Wangzang	6851	33.9507200	103.5999500	PPLA4
1905932	Dehua	Dehua	6834	26.4700000	108.7400000	PPL
1795909	Shanyang	Shanyang	6810	26.6701900	119.2050900	PPLA4
13308635	Shangzi	Shangzi	6782	22.5811000	113.9083800	PPLX
1791079	Wuma	Wuma	6743	33.0635000	105.4425300	PPLA4
13308744	Fubao	Fubao	6683	22.5191700	114.0481800	PPLX
1785066	Zhangwan	Zhangwan	6590	26.7113900	119.5919400	PPL
1281048	Heshun	Heshun	6560	25.0166700	98.4666700	PPL
12358587	Peishi	Peishi	6460	31.0071500	110.0954300	PPLA4
1899321	Zhagulu	Zhagulu	6369	34.6533300	103.1850000	PPL
13308747	Zhuyuan	Zhuyuan	6328	22.5381100	114.0150400	PPL
1796379	Shajiang	Shajiang	6310	26.7825000	119.9669400	PPL
13308741	Dongchong	Dongchong	6302	22.5235600	114.0298900	PPLX
13308669	Zhongshan	Zhongshan	6291	22.5466300	113.9177400	PPL
2035521	Pangu	Pangu	6257	52.7166700	123.8166700	PPL
13308732	Shekou Residential	Shekou Residential	6218	22.4883400	113.9272100	PPLX
13308680	Zhongxing	Zhongxing	6214	22.5767400	113.9386100	PPL
1791813	Wangguan	Wangguan	6100	33.4591700	105.3616700	PPLA4
1810410	Gaoqiao	Gaoqiao	6061	34.0952500	105.9488300	PPLA4
1787339	Yangsha	Yangsha	6042	34.8315500	103.6681600	PPLA4
13308722	Happy Harbour	Happy Harbour	6032	22.5470200	113.8872700	PPL
13308719	Taoyuan Ju	Taoyuan Ju	6029	22.6189200	113.8602400	PPL
13308602	Qiaotou Community	Qiaotou Community	6018	22.6865900	113.8052000	PPL
13308706	Pingzhou	Pingzhou	6012	22.5661000	113.8465900	PPL
7373609	Yushu	Yushu	6012	33.9597800	106.0057100	PPLA4
7343467	Zuogaimanma	Zuogaimanma	5879	34.9974400	103.0486400	PPLA4
1899344	Baiyang	Baiyang	5847	33.1728800	105.7818400	PPLA4
7372558	Sanheba	Sanheba	5841	33.1418800	105.6829800	PPLA4
13308638	Taohuayuan	Taohuayuan	5814	22.6106200	113.8823900	PPLX
1814123	Dakoutun	Dakoutun	5814	39.5833300	117.2288900	PPL
7372945	Sitai	Sitai	5798	33.4864100	105.6100000	PPLA4
7516821	Mu’er	Mu'er	5713	34.2570200	104.3424500	PPL
13308628	Jiushixia	Jiushixia	5712	22.5178700	114.0547900	PPLX
1812025	Douba	Douba	5694	33.2571100	105.4681200	PPLA4
7516767	Shangping	Shangping	5667	34.1755900	104.8615500	PPL
7413703	Madang	Madang	5662	35.3244200	102.7854000	PPLA4
7373419	Liuxiang	Liuxiang	5655	33.7993700	105.4444700	PPLA4
7407683	Yuguan	Yuguan	5645	33.6353900	106.1671600	PPLA4
13308666	Wuwu	Wuwu	5623	22.5452900	113.9565900	PPL
1806180	Jianjiang	Jianjiang	5540	26.5497200	119.7550000	PPL
7407813	Jindong	Jindong	5470	33.9060400	106.3087000	PPLA4
7373270	Taishihe	Taishihe	5442	33.7057800	105.1812200	PPLA4
1802526	Longmen	Longmen	5370	24.9597200	118.0888900	PPL
7343345	Taoyan	Taoyan	5329	34.7704400	103.7902300	PPLA4
7373106	Songping	Songping	5277	33.6025100	105.9105400	PPLA4
1810800	Gahai	Gahai	5257	34.2591400	102.3681000	PPLA4
7343069	Niba	Niba	5251	34.4577400	103.0845800	PPLA4
1815022	Chiba	Chiba	5230	33.6465700	104.7822400	PPLA4
1941833	Houyu	Houyu	5180	26.0595800	119.5350200	PPLA4
7373023	Miba	Miba	5175	33.5427200	105.7819000	PPLA4
13308710	Nanchang, Shenzhen	Nanchang, Shenzhen	5132	22.5976300	113.8416000	PPLX
7373136	Longba	Longba	5111	33.6247600	105.2944700	PPLA4
13308639	Chentian Village	Chentian Village	5101	22.5914300	113.8781100	PPLX
7446447	Bajiao	Bajiao	5095	35.0282500	103.6969300	PPLA4
13308715	Baochuang Estate	Baochuang Estate	5089	22.6052600	113.8246000	PPLX
1899334	Xipo	Xipo	5075	33.8477200	106.4303900	PPLA4
13308751	Shahe Jiangong	Shahe Jiangong	5073	22.5502100	113.9920700	PPL
1790707	Xiahu	Xiahu	5070	26.6105600	119.9483300	PPL
13308599	Heyi	Heyi	5061	22.7142300	113.7852800	PPL
13308650	Bao'an yuan qu	Bao'an yuan qu	5055	22.5622400	113.9131500	PPLX
1804525	Langmusi	Langmusi	5054	34.0877800	102.6280600	PPLA4
1789659	Xibing	Xibing	5050	26.9813900	119.7247200	PPL
13308707	Yu'hu Bay	Yu'hu Bay	5008	22.5740100	113.8542200	PPL
13308629	Huanggang	Huanggang	5003	22.5179800	114.0581500	PPL
13308641	Gongle Gongye	Gongle Gongye	5000	22.5847500	113.8718300	PPLX
13308676	Samsung Renjia	Samsung Renjia	5000	22.5705800	113.8831900	PPL
13308753	Hailianting	Hailianting	5000	22.5341600	114.0006700	PPL
13308756	Mangrove Bay	Mangrove Bay	5000	22.5278300	113.9644000	PPL
13308596	Sports Square	Sports Square	5000	22.7242100	113.8311000	PPL
13308597	Huayu Estate	Huayu Estate	5000	22.7191900	113.8261900	PPLX
13308600	Weisi Science & Technology Garden	Weisi Science & Technology Garden	5000	22.6847200	113.7823000	PPL
13308612	College Park	College Park	5000	22.6530300	113.8384800	PPLX
1811682	Erlang	Erlang	4977	33.8394600	105.5883100	PPLA4
1786630	Yingdu	Yingdu	4960	24.9716700	118.2441700	PPL
7373013	Chanhe	Chanhe	4918	33.5366700	105.6566600	PPLA4
7446266	Daogao	Daogao	4813	34.5026700	103.1242200	PPLA4
1795727	Shazikou	Shazikou	4750	36.1150000	120.5372200	PPL
7343192	Dianzi	Dianzi	4722	34.6313200	103.6648200	PPLA4
